Reference, Quantity, Value, Footprint, Datasheet, CatNo, Vendor
C1 C3 ,2,".0033uF","Capacitor_THT:C_Axial_L17.0mm_D6.5mm_P20.00mm_Horizontal","~","1572-1715-ND","DigiKey"
C2 C4 ,2,"100uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","732-8666-1-ND","DigiKey"
C5 ,1,"5nF 400V Y4","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P10.00mm","~","125LD50-R-ND","DigiKey"
C6 ,1,"33uF","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","~","493-12996-1-ND","DigiKey"
C7 C8 C9 ,3,"100uF 350V","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","~","1189-4068-ND","DigiKey"
F1 ,1,"Fuse","HBH_fuse_holder:HBH-I-R","~","283-2709-ND","DigiKey"
H1 H2 H3 H4 H5 H6 ,6,"MTG","MountingHole:MountingHole_6.4mm_M6_Pad","~"
J1 ,1,"Conn_01x05","GSP1_power_entry:GSP1.8101.1","~","486-1007-ND","DigiKey"
J2 ,1,"DUAL_RCA","RCA_jack:PJRAS2X1S01AUX","","SC1858-ND","DigiKey"
L1 ,1,"5H/156L","Hammond-L:156L","~","HM3516-ND","DigiKey"
L2 L3 ,2,"5H","Hammond-L:155H","~","155H",""
LS1 LS2 ,2,"Speaker","BindingPost:Keystone_4109","~","36-4109-ND","DigiKey"
NE1 ,1,"A1A","neon:A1A","~","A1A-ND","DigiKey"
R1 R4 R6 R9 ,4,"1.5k","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~","BC4526CT-ND","DigiKey"
R11 R12 R13 R14 ,4,"100","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~","BC4517CT-ND","DigiKey"
R2 R7 R15 ,3,"100k","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~","BC4520CT-ND","DigiKey"
R3 R8 ,2,"1M","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~","BC4521CT-ND","DigiKey"
R5 R10 ,2,"1k 1W","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~","BC4518CT-ND","DigiKey"
RV1 RV2 ,2,"100k_audio","POT:P260P-D1BS3CA","~","987-1330-ND","DigiKey"
SW1 ,1,"SW_SPST_GND","Switch_8GA:8GA1016-Z","~","563-1727-ND","DigiKey"
T1 T2 ,2,"Transformer_1P_1S","OT8SE:OT8SE","~","OT8SE",""
T3 ,1,"Transformer_PT190.2","PT190_2:PT190_2","~"
U1 U2 ,2,"6CY7","Valve:Valve_Noval_P","","Socket_P-ST9-221G","AES"
U3 ,1,"6CA4","Valve:Valve_Noval_P","","Socket_P-ST9-221G","AES"